index,name,active_fla,address_st,activity,activity_l,program__1,mpca_id_li,industrial,shape,geometry
1198,Cepro Ramp,Y,See Location Description,Multiple Activities,"Brownfields, Voluntary Investigation and Cleanup; Construction Stormwater",Investigation and Cleanup; Stormwater,C00021420; VP23090,,0101000020E6100000514F9B489B5057C05D5273C1B2794640,POINT (479531.72573246964 4977513.905075496)
1199,Allina Health Systems - Minneapolis,Y,2828 10th Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000168583,Offices of Physicians,0101000020E61000004BB7DBE4A65057C03FC4AB51B4794640,POINT (479475.8434119745 4977519.384147108)
1200,Sears Tower,Y,900 E Lake St,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP9270,,0101000020E610000076571397A55057C0DB1BB60CBC794640,POINT (479482.2051198031 4977545.571474418)
1201,Former Rahr Malting Co - Minneapolis,Y,2836 11th Ave S,Multiple Activities,Air Quality; Hazardous Waste,Air Quality; Hazardous Waste,05300050; MNS000102723,Malt Manufacturing,0101000020E6100000DF6124C5915057C07F3A79ECC2794640,POINT (479577.7050568384 4977568.569717163)
1202,Foundation for the Advancement of Spinal Knowledge,Y,Biomechanics Lab 4MF 2828 10th Avenue South,"Hazardous Waste, Minimal quantity generator","Hazardous Waste, Minimal quantity generator",Hazardous Waste,MNS000303304,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",0101000020E61000009FAA4203B15057C0D7DB662AC4794640,POINT (479427.29869593657 4977573.261992066)
1203,Minnesota Pest Control Assn,Y,2828 11th Ave S,"Hazardous Waste, Minimal quantity generator","Hazardous Waste, Minimal quantity generator",Hazardous Waste,MND981191703,,0101000020E61000007497C459915057C0235399BDC7794640,POINT (479579.7766728856 4977584.892949734)
1204,Honeywell,Y,2916 4th Ave S,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0004360,,0101000020E610000038B1D1834C5157C03E5354A291794640,POINT (478678.0509122741 4977404.408040574)
1205,Shamrock Industries,Y,2900 5th Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000127316,Soft Drink Manufacturing ; Ice Manufacturing,0101000020E6100000C5AFB37C385157C042469B3E96794640,POINT (478774.53064672835 4977419.71713567)
1206,Carbonic Machines,Y,2900 5th Ave S,Multiple Activities,Aboveground Tanks; Hazardous Waste; Underground Tanks,Hazardous Waste; Tanks,MNP200000329; TS0122237,,0101000020E6100000C5AFB37C385157C0DD38735996794640,POINT (478774.53182852967 4977420.072611655)
1207,Shamrock Group,Y,2900 5th Ave S,Multiple Activities,"Hazardous Waste, Very small quantity generator; Petroleum Remediation, Leak Site",Hazardous Waste; Investigation and Cleanup,LS0017060; MNR000100081,Vending Machine Operators ; General Automotive Repair,0101000020E6100000661AA8E7385157C0874215489A794640,POINT (478772.564613946 4977433.409637237)
1208,Homefield,Y,See Location Description,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP6190,,0101000020E6100000C037761E4F5157C05E75B20EA6794640,POINT (478665.7444532322 4977473.686577935)
1209,Homefield Site/urban Ventures,Y,2834 5th Ave S,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0009056,,0101000020E61000004818062C395157C0FDEEC27BB3794640,POINT (478771.5628960898 4977518.850343971)
1210,Wells Fargo Parking Ramp,Y,2800 4th Avenue S,Construction Stormwater,Construction Stormwater,Stormwater,C00049480,,0101000020E6100000A56B26DF6C5157C00473F4F8BD794640,POINT (478522.7685883584 4977555.240112763)
1211,Erban Ventures,N,2801 4th Ave S,Underground Tanks,Underground Tanks,Tanks,TS0122483,,0101000020E6100000214729D74A5157C00964C0A3D7794640,POINT (478686.9051414204 4977641.705864849)
1212,Honeywell Inc,N,2800 4th Ave S,Underground Tanks,Underground Tanks,Tanks,TS0020373,,0101000020E6100000C1632E5F4D5157C05C621BA7D7794640,POINT (478674.7181670998 4977641.790926272)
1213,Wells Fargo Property,Y,28th St E & 5th Ave S,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0014990,,0101000020E6100000C0232A54375157C02CD8463CD9794640,POINT (478780.86256934464 4977646.803390274)
1214,Sears Roebuck & Co Service Dept,N,2833 13th Ave S,Multiple Activities,"Hazardous Waste; Petroleum Remediation, Leak Site",Hazardous Waste; Investigation and Cleanup,LS0011495; MND982074155,,0101000020E6100000A3E30FAB645057C0E9F3ACFFCE794640,POINT (479794.9807788526 4977608.81527635)
1215,Rental Property/Bruce Wigness,Y,2812 11th Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000015875,,0101000020E6100000D48E2CAA8F5057C0E801E264D1794640,POINT (479587.99825160566 4977617.593052004)
1216,Abubakar As-Saddique Islamic Center,N,2824 13th Ave S,Multiple Activities,"Hazardous Waste; Petroleum Remediation, Leak Site; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,LS0012972; MND006214761; TS0002405,All Other Miscellaneous Fabricated Metal Product Manufacturing ; All Other Miscellaneous General Purpose Machinery Manufacturing ; General Warehousing and Storage ; Elementary and Secondary Schools,0101000020E6100000187ECBF7675057C010B79E7CD5794640,POINT (479779.1637411002 4977630.860569578)
1217,Allina Medical Laboratories,Y,2800 10th Ave S Ste 2000,"Hazardous Waste, Large quantity generator","Hazardous Waste, Large quantity generator",Hazardous Waste,MNS000173062,Testing Laboratories,0101000020E61000007B698A00A75057C027AB7D95D7794640,POINT (479475.7071789338 4977638.936856524)
1218,MCI #171095 - Anderson School Crossing Improvements,Y,,Construction Stormwater,Construction Stormwater,Stormwater,C00046682,,0101000020E6100000919BE1067C5057C01A6D5512D9794640,POINT (479682.6282404628 4977643.31949314)
1219,MN Lung Center/Sleep Institute - Minneapolis,Y,920 E 28th St Ste 700,"Hazardous Waste, Minimal quantity generator","Hazardous Waste, Minimal quantity generator",Hazardous Waste,MNS000148015,Offices of Physicians,0101000020E6100000DFB8D628B55057C0903B5BF6DA794640,POINT (479407.5830058498 4977650.608966371)
1220,Metropolitan Urology Clinic - Minneapolis,Y,920 E 28th St Ste 720,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000155564,Offices of Physicians,0101000020E6100000DFB8D628B55057C0903B5BF6DA794640,POINT (479407.5830058498 4977650.608966371)
1221,Specialists in Internal Medicine PA,Y,920 E 28th St Ste 740,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000016196,Offices of Physicians (except Mental Health Specialists),0101000020E61000007A94A531B55057C07E12E9C8DB794640,POINT (479407.4263508642 4977653.3977653645)
1222,Orthopedic Medicine & Surgery Ltd - Mpls,N,920 E 28th St Ste 600,Hazardous Waste,Hazardous Waste,Hazardous Waste,MN0000831149,General Medical and Surgical Hospitals,0101000020E61000007A94A531B55057C07E12E9C8DB794640,POINT (479407.4263508642 4977653.3977653645)
1223,Consulting Radiologists Ltd,Y,920 E 28th St Ste 240,Hazardous Waste,Hazardous Waste,Hazardous Waste,MN0000740928,,0101000020E61000000E547C32B55057C0718C09D6DD794640,POINT (479407.43300831 4977660.351817269)
1224,Guild Art Corp - Oakland Ave,Y,2817 Oakland Ave,"Hazardous Waste, Minimal quantity generator","Hazardous Waste, Minimal quantity generator",Hazardous Waste,MND980897227,,0101000020E610000042CD902A0A5157C01403C9E0CD794640,POINT (478998.1713416701 4977607.58313954)
1225,Sports & Orthopaedic Specialist,Y,2800 Chicago Ave S Ste 400,"Hazardous Waste, Minimal quantity generator","Hazardous Waste, Minimal quantity generator",Hazardous Waste,MNS000168856,Offices of Physicians,0101000020E6100000666B7D91D05057C074A4E9A2D7794640,POINT (479275.5865180809 4977639.759979884)
1226,Female Pelvic Medicine,N,2800 Chicago Ave S Ste 130,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000155945,Offices of Physicians,0101000020E6100000666B7D91D05057C074A4E9A2D7794640,POINT (479275.5865180809 4977639.759979884)
1227,Summit Orthopedics - Minneapolis Clinic,Y,2800 Chicago Ave S Ste 402,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000153171,Offices of Physicians; Offices of Physicians (except Mental Health Specialists) ; Offices of Other Health Practitioners,0101000020E6100000666B7D91D05057C074A4E9A2D7794640,POINT (479275.5865180809 4977639.759979884)
1228,Womens Health Consultants - Chicago Ave,Y,2800 Chicago Ave S Ste 101,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000152348,Offices of Physicians,0101000020E6100000666B7D91D05057C074A4E9A2D7794640,POINT (479275.5865180809 4977639.759979884)
1229,Colon & Rectal Surgery Associates - Minneapolis,Y,2800 Chicago Ave S Ste 300,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNR000015982,Offices of Physicians,0101000020E61000008FD32181D05057C068525447D8794640,POINT (479275.9012228047 4977641.936274016)
1230,Neuro Surgical Associates - Minneapolis,N,800 E 28th St Ste 305,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000146928,Offices of Physicians,0101000020E6100000DEBBBCEFCE5057C0B48707DEDA794640,POINT (479283.4786175781 4977650.687631766)
1231,Allina Health Heart Hospital Pharmacy,Y,920 28th St Ste 92005,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000153866,Pharmacies and Drug Stores,0101000020E6100000DEBBBCEFCE5057C0B48707DEDA794640,POINT (479283.4786175781 4977650.687631766)
1232,Allina Health Surgical Specialists,Y,920 E 28th St Ste 460,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000311040,Offices of Physicians (except Mental Health Specialists),0101000020E6100000FF06EDD5C75057C0EF8E8CD5E6794640,POINT (479317.7970510049 4977691.145688651)
1233,New Village Apartments,Y,2730 Portland Ave S,"Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup","Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup",Investigation and Cleanup,BF0000106,,0101000020E61000003E761728295157C01822A7AFE7794640,POINT (478849.25693182414 4977695.566416345)
1234,East Village Apartments,Y,2733 Portland Ave S,"Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup","Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup",Investigation and Cleanup,BF0000108,,0101000020E610000033F9669B1B5157C06E693524EE794640,POINT (478914.5632917981 4977717.234998756)
1235,His,Y,2750 Park Ave S,Aboveground Tanks,Aboveground Tanks,Tanks,TS0054583; TS0123467,,0101000020E6100000DFCB33E5F95057C0D08657EDF5794640,POINT (479076.95352541644 4977743.096023974)
1236,Knights Of Columbus,N,2745 Park Ave S,Underground Tanks,Underground Tanks,Tanks,TS0016106,,0101000020E610000022516859F75057C0921A7F47F9794640,POINT (479089.24867087905 4977754.420058919)
1237,Ebenezer Park Apartments,Y,2700 Park Ave S,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0019705; TS0018692,,0101000020E6100000F37CBC46015157C030D5CC5A0A7A4640,POINT (479041.64554938325 4977812.463589216)
1238,Portland Place Housing Development,Y,See location description,Construction Stormwater,Construction Stormwater,Stormwater,C00005447,,0101000020E610000049B4AA462B5157C02F7FF067197A4640,POINT (478839.61169310636 4977864.154759846)
1239,Johnson David W Jr Dds,N,736 E 27th St,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND985767557,Health Services,0101000020E6100000E2EBC616DD5057C02E9E8BD0197A4640,POINT (479216.0361080028 4977864.305499715)
1240,American Swedish Institue,N,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00031761,,0101000020E6100000170E8464015157C003780B24287A4640,POINT (479041.4170561786 4977913.442889683)
1241,Ebenezer Loren on Park,Y,2625 Park Ave. S.,Multiple Activities,"Hazardous Waste, Very small quantity generator; Underground Tanks",Hazardous Waste; Tanks,MNS000309160; TS0001923,Assisted Living Facilities for the Elderly,0101000020E61000003B511212E95057C0CC2AC7BF2A7A4640,POINT (479158.53986232734 4977921.902654236)
1242,Fresenius Medical Care - Minneapolis,Y,2637 Park Ave S,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000148148,Kidney Dialysis Centers,0101000020E610000046860B2FF75057C019C51792387A4640,POINT (479090.7482010203 4977968.980679659)
1243,Wishart Robert I Building,N,2636 Portland Ave S,Underground Tanks,Underground Tanks,Tanks,TS0011993,,0101000020E6100000FA997ADD225157C0A851ED78387A4640,POINT (478880.45311142865 4977969.338514051)
1244,Formerly Fritzs Service,N,2802 Bloomington Ave S,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0005232; TS0002393,,0101000020E610000038E4558C295057C0B0DC77B1D5794640,POINT (480079.68730375037 4977630.617258654)
1245,Hiawatha Project,N,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00034730,,0101000020E6100000B1BFEC9E3C5057C0FD87F4DBD7794640,POINT (479987.88479764323 4977638.246747846)
1246,Jack Kiffes Automotive,N,2750 Bloomington Ave,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND981534654,,0101000020E6100000F7C6B546295057C029ACF996DE794640,POINT (480081.0908544867 4977660.773102298)
1247,U of MN - Phillips Neighborhood Clinic,Y,2742 15th Ave S,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000204628,"All Other Support Services; Colleges, Universities, and Professional Schools ; General Medical and Surgical Hospitals",0101000020E6100000DA1EBDE13E5057C0AA70BA1BFA794640,POINT (479977.3634530556 4977754.388200722)
1248,Fire Station #5,Y,2700 Bloomington Ave S,Underground Tanks,Underground Tanks,Tanks,TS0001563,,0101000020E6100000AE6AA4002C5057C0ACA289C10D7A4640,POINT (480068.4644434048 4977820.711599778)
1249,Phillips Neighborhood Clinic,N,2647 Bloomington Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000152793,Offices of Physicians,0101000020E6100000CCC529841F5057C0303DAB16227A4640,POINT (480128.7925891388 4977889.453569344)
1250,Midwest Restaurant Seating,N,2607 Bloomington Ave S,Underground Tanks,Underground Tanks,Tanks,TS0002415,,0101000020E610000099ACFEC6265057C0B0D69AF7497A4640,POINT (480094.2571391956 4978024.754351125)
1251,M & W Auto Repair,N,1515 E 26th St,Hazardous Waste,Hazardous Waste,Hazardous Waste,PW5103024163,General Automotive Repair,0101000020E61000004DE031972F5057C0C7681D554D7A4640,POINT (480051.86367116566 4978036.2951429095)
1252,Egekvist Bakery,N,2601 Bloomington Ave,Hazardous Waste,Hazardous Waste,Hazardous Waste,PW5103027096,,0101000020E6100000D575A8A6245057C0EAF648394E7A4640,POINT (480104.53868924745 4978039.152607559)
1253,Open Arms Site,Y,See location description,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP23670,,0101000020E61000002BA391CF2B5057C0224ECC1F787A4640,POINT (480070.51343680464 4978181.306066613)
1254,Allina Medical Clinic the DRS - Lagoon,N,1300 Lagoon Ave Ste 200,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000019331,Offices of Physicians (except Mental Health Specialists),0101000020E61000004F47B6A9F05257C04349923188794640,POINT (476655.04901592055 4977379.467708119)
1255,Lagoon Cinema,Y,1320 Lagoon Ave,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0007761,,0101000020E61000001B40097DFA5257C0F6AB4A6C88794640,POINT (476607.7449070306 4977380.418154314)
1256,Lyn-Lake Property,Y,See Location Description,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP21450; VP21451,,0101000020E61000007180EC378B5257C0186935668A794640,POINT (477143.50255731103 4977385.18084215)
1257,Lagoon Medical Office Building,Y,1200 Lagoon Ave,Construction Stormwater,Construction Stormwater,Stormwater,C00053944,,0101000020E6100000AC1A84B9DD5257C0488AC8B08A794640,POINT (476746.26228136173 4977387.600320946)
1258,Cub Foods 8855/1693,Y,1104 Lagoon Ave,Multiple Activities,"Brownfields, Voluntary Investigation and Cleanup; Hazardous Waste, Very small quantity generator; Site Assessment",Hazardous Waste; Investigation and Cleanup,MNS000159525; SA0000220; VP26620,Supermarkets and Other Grocery (except Convenience) Stores,0101000020E6100000A9C045FECB5257C02433EE388B794640,POINT (476831.6405304759 4977389.093435551)
1259,Williams Pub,Y,2907 Hennepin Avenue,"Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup","Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup",Investigation and Cleanup,BF0000804,,0101000020E61000000E9E094D125357C04E4700378B794640,POINT (476493.12921244436 4977390.30304669)
1260,Uptown Square Apartments,Y,2919 Colfax Avenue S,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,BF0000513,,0101000020E6100000BD8C62B9A55257C0CA349A5C8C794640,POINT (477015.9090937308 4977392.291124043)
1261,Copies Inc,N,2922 Bryant Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MN0000116764,,0101000020E6100000C8597D1A9C5257C08EA61F798C794640,POINT (477062.23125052865 4977392.502529035)
1262,Uptown Rainbow Foods and Arbys,Y,1116 West Lake St,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup",Investigation and Cleanup,BF0000934; PB3885,,0101000020E61000002041F163CC5257C04D41C8C38C794640,POINT (476829.7473472204 4977394.329192736)
1263,Meyer Offset Printing Inc,Y,2920 Bryant Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MN0000073411,,0101000020E610000099F221A89A5257C088E3AF7F8D794640,POINT (477069.2092096765 4977395.954552467)
1264,Calhoun Village,N,3220 W Lake St,Multiple Activities,"Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup; Brownfields, Voluntary Investigation and Cleanup; Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,BF0000004; LS0013716; TS0001932; VP13640; VP13641,,0101000020E6100000D7378B72845457C071DA7CF17F794640,POINT (474710.82902414707 4977358.889680731)
1265,Walgreen's Store 2038,Y,3240 Lake St,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",Hazardous Waste,MNS000157727,Pharmacies and Drug Stores,0101000020E6100000FFCEF6E88D5457C0A07E614381794640,POINT (474665.2869025387 4977363.544533508)
1266,Calhoun Beach Club Apartments,Y,2900 Thomas Ave S,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0011064; TS0020352,,0101000020E6100000D6F4EA2D2F5457C077F700DD97794640,POINT (475121.68852462276 4977438.37040804)
1267,"Hopkins System Imp., Park Restoration",N,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00039661,,0101000020E610000014AE47E17A5457C09A99999999794640,POINT (474757.2374646999 4977445.686058305)
1268,Lake Point Condo,Y,2950 Dean Pkwy,Underground Tanks,Underground Tanks,Tanks,TS0002709,Lessors of Residential Buildings and Dwellings,0101000020E6100000931F4CE5485457C0ECEDE0719B794640,POINT (474997.92016697384 4977450.994944157)
1269,2622 West Lake,Y,2622 West Lake Street,Construction Stormwater,Construction Stormwater,Stormwater,C00039787,,0101000020E610000053A813750B5457C0D3C8BE969D794640,POINT (475293.75377017335 4977457.113838437)
1270,Interceptor 1-MN-330 Rehabilitation,N,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00034983,,0101000020E6100000F9A067B3EA5357C0C4B12E6EA3794640,POINT (475451.5416187049 4977476.309923275)
1271,1-MN-330 Interceptor Rehabilitation,N,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00034839,,0101000020E6100000F9A067B3EA5357C0C4B12E6EA3794640,POINT (475451.5416187049 4977476.309923275)
1272,2626 W Lake St Project,Y,2626 W Lake St,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup; Hazardous Waste; Underground Tanks",Hazardous Waste; Investigation and Cleanup; Tanks,MNS000124818; PB3592; TS0015136; VP20980; VP20981,,0101000020E6100000FB8D5D3F105457C023DEF8E2A4794640,POINT (475270.78639072663 4977481.942997749)
1273,Colorhouse Inc,N,2622 W Lake St,Hazardous Waste,Hazardous Waste,Hazardous Waste,MND006217475,Printing Machinery and Equipment Manufacturing,0101000020E61000000B94B99E0D5457C099E49189A5794640,POINT (475283.4454222454 4977484.1002716655)
1274,Furniture Industries Inc,Y,2909 Bryant Ave S,Multiple Activities,"Brownfields, Petroleum Brownfield; Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0018762; PB4161,,0101000020E6100000E78AD67A945257C04C28D0698E794640,POINT (477098.96044110996 4977398.948414281)
1275,Asset Accumulation Corp,Y,2917 Bryant Ave S,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNS000114793,,0101000020E6100000A08A1BB7985257C07B9F4F8990794640,POINT (477078.59394271375 4977406.218741966)
1276,Acme Machine,Y,2901 Fremont Ave S,Multiple Activities,"Hazardous Waste, Minimal quantity generator; Industrial Stormwater",Hazardous Waste; Stormwater,MND006257695; MNRNE35LG; MNRNE395N,Machine Shops,0101000020E6100000D1419770E85257C021B0726891794640,POINT (476694.7550733782 4977410.56077992)
1277,Mozaic,Y,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00031286,,0101000020E6100000C2172653055357C0D3DEE00B93794640,POINT (476555.70299559925 4977416.623353177)
1278,Uptown Square Apartments,Y,2908 Bryant Ave S,Aboveground Tanks,Aboveground Tanks,Tanks,TS0054711,,0101000020E61000004BC8073D9B5257C0AE8CFCB094794640,POINT (477066.496387845 4977420.348027908)
1279,Mozaic East (Phase III),Y,Address Unknown,Construction Stormwater,Construction Stormwater,Stormwater,C00039230,,0101000020E61000007B4E7ADFF85257C061376C5B94794640,POINT (476615.67104295373 4977420.847330899)
1280,Villa Court Apartments,N,2900 Bryant Ave S,Underground Tanks,Underground Tanks,Tanks,TS0017074,,0101000020E61000008D89833A9B5257C0233B25D698794640,POINT (477066.5941830351 4977434.400270948)
1281,Bennett lumber -  East,Y,See Location Description,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP24270; VP24271,,0101000020E610000053927538BA5257C07C9DD497A5794640,POINT (476917.53413427493 4977478.182939148)
1282,Bennett Lumber - West,Y,See Location Description,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP24280; VP24281,,0101000020E6100000F20A444FCA5257C04C1938A0A5794640,POINT (476840.0712905063 4977478.574061673)
1283,Applause,Y,2841 Hennepin Ave,Multiple Activities,"Brownfields, Petroleum Brownfield and Voluntary Investigation and Cleanup; Brownfields, Voluntary Investigation and Cleanup; Petroleum Remediation, Leak Site",Investigation and Cleanup,BF0001643; LS0021355; VP4880; VP4881,,0101000020E61000002A0A68E00F5357C094060AFEAF794640,POINT (476505.2603921421 4977514.938952609)
1284,Bennett East Residences,N,2825 Dupont Ave. South,Construction Stormwater,Construction Stormwater,Stormwater,C00033823,,0101000020E61000001F85EB51B85257C05227A089B0794640,POINT (476926.8186348636 4977515.252739174)
1285,Bennett Blocks 2 & 3 (Elan Phase 2),Y,"2812, 2828, 2829 Emerson Ave S",Construction Stormwater,Construction Stormwater,Stormwater,C00035857,,0101000020E6100000B459F5B9DA5257C05227A089B0794640,POINT (476761.16499360354 4977515.852500282)
1286,ACME Tag Co,Y,2838 Fremont Ave S,Multiple Activities,"Brownfields, Petroleum Brownfield; Brownfields, Voluntary Investigation and Cleanup; Hazardous Waste",Hazardous Waste; Investigation and Cleanup,MND006249502; PB3882; VP23550; VP23551,"Converted Paper and Paperboard Products, Not Elsewhere Classified",0101000020E61000004382F3F3F05257C0281884A8B1794640,POINT (476654.1666297511 4977520.041377608)
1287,Bennett East Parcel,Y,2821 thru 2825 Dupont Av S 2820 thru 2836 Colfax Ave S,"Brownfields, Petroleum Brownfield","Brownfields, Petroleum Brownfield",Investigation and Cleanup,PB4005,,0101000020E610000008043A93B65257C0B129A105B2794640,POINT (476935.23781625787 4977520.254645682)
1288,Acme Tag Redevelopment,Y,2838 Freemont Ave S,Construction Stormwater,Construction Stormwater,Stormwater,C00031086,,0101000020E6100000A875768DF15257C092808758B3794640,POINT (476651.3004416338 4977525.77286077)
1289,Nermal Inc,Y,2835 Hennepin Ave,"Hazardous Waste, Minimal quantity generator","Hazardous Waste, Minimal quantity generator",Hazardous Waste,MND022926224,,0101000020E6100000288D87AD0F5357C03991AA37B4794640,POINT (476506.2699321181 4977529.258903912)
1290,Norm's Cleaners,Y,2833 Hennepin Ave,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP4240; VP4241; VP4242,,0101000020E61000002033C46F125357C03ED57CF0B5794640,POINT (476493.0091785082 4977535.145293083)
1291,Bennett Center Parcel,Y,2820 and 2828 Dupont Ave,Multiple Activities,"Brownfields, Petroleum Brownfield; Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0019128; PB4012,,0101000020E6100000751772B6CA5257C0326CDE82B6794640,POINT (476838.33838038804 4977535.823850757)
1292,Norm's Cleaners,N,2835 W Hennepin Ave,Multiple Activities,"Petroleum Remediation, Leak Site; Underground Tanks",Investigation and Cleanup; Tanks,LS0006333; TS0017589,,0101000020E6100000510C35AF0F5357C0FC862E4DB6794640,POINT (476506.2643700063 4977536.324107981)
1293,Denenson Complex,Y,See Location Description,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP3730; VP3731,,0101000020E6100000A7AA7587B95257C0310A82C7B7794640,POINT (476921.0858170709 4977539.82381299)
1294,Calhoun Terrace Apartments,N,2893 Knox Ave S,Underground Tanks,Underground Tanks,Tanks,TS0001509,,0101000020E61000006E0DB6227B5357C04301DBC188794640,POINT (475988.34916304087 4977383.846571721)
1295,Isles Condominiums,Y,2885 Knox Ave S,Underground Tanks,Underground Tanks,Tanks,TS0019089,,0101000020E61000002CC203B97A5357C0D987ABB992794640,POINT (475990.4640795858 4977417.631553977)
1296,South East Lake of The Isles,Y,See Location Description,"Brownfields, Voluntary Investigation and Cleanup","Brownfields, Voluntary Investigation and Cleanup",Investigation and Cleanup,VP14850,,0101000020E6100000046A5AF7495357C06A56CFAC99794640,POINT (476225.2993185859 4977440.314938292)
1297,2020 HSIP Pedestrain & Bike crossing improvement,Y,,Construction Stormwater,Construction Stormwater,Stormwater,C00056486,,0101000020E6100000DC48D922695357C0E162450DA6794640,POINT (476075.38352195255 4977482.832948679)
1298,Uptown Ywca,Y,2808 Hennepin Ave,Hazardous Waste,Hazardous Waste,Hazardous Waste,MNR000028704,,0101000020E61000008934E0E2175357C04FB39B74B6794640,POINT (476466.77774157596 4977536.991392353)
1299,HSI East Isle Forcemain Contract G,Y,Humbolt Ave,Construction Stormwater,Construction Stormwater,Stormwater,C00062622,,0101000020E6100000AA66D652405357C0259012BBB6794640,POINT (476272.0914597939 4977538.643853414)
1300,Edstrom Residence,Y,2847 James Ave S,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0020719,,0101000020E61000000E8C3874655357C02BB3946EC3794640,POINT (476093.4845465969 4977582.367742239)
1301,Quad Home,Y,2815 Hennepin Ave,"Petroleum Remediation, Leak Site","Petroleum Remediation, Leak Site",Investigation and Cleanup,LS0015206,,0101000020E61000000188BB7A155357C012C0CDE2C5794640,POINT (476478.5582396076 4977589.259302168)
